title,description,link,published
Flamengo vs. Racing Club EN VIVO: ¿a qué hora juegan y dónde ver hoy por la semifinal de Copa Libertadores?,"En el Maracaná, Flamengo y Racing chocarán en un partido imperdible por la semifinal ida de la Copa Libertadores 2025.",https://rpp.pe/futbol/copa-libertadores/flamengo-vs-racing-club-en-vivo-ver-espn-transmision-gratis-desde-maracana-ida-semifinal-copa-libertadores-2025-link-stream-partidos-de-hoy-noticia-1660341,"Wed, 22 Oct 2025 17:30:11 -0500"
JNJ determina que Delia Espinoza no retornará como Fiscal de la Nación,La JNJ enfatizó se mantiene vigente la medida cautelar de suspensión preventiva en el cargo a Espinoza Valenzuela por una resolución emitida en setiembre.,https://rpp.pe/politica/judiciales/delia-espinoza-ya-no-sera-fiscal-de-la-nacion-jnj-noticia-1660534,"Wed, 22 Oct 2025 16:58:30 -0500"
Ala Este de la Casa Blanca será demolida totalmente para construir salón de baile de Trump,"De acuerdo con el diario The New York Times, el trabajo de demolición debería ser concretado este fin de semana, para dar paso a la construcción del salón de baile, anunciado por Donald Trump, que tiene un costo estimado de 200 millones de dólares.",https://rpp.pe/mundo/estados-unidos/ala-este-de-la-casa-blanca-sera-demolida-totalmente-para-construir-salon-de-baile-de-trump-noticia-1660537,"Wed, 22 Oct 2025 17:15:10 -0500"
Moquegua: pobladores piden nuevo tamizaje para descartar arsénico en escolares,"Rotafono de RPP | En el 2023, la Dirección Regional de Salud de Moquegua detectó la presencia del metal pesado en un grupo de alumnos de inicial y primaria en el anexo de Ronjadero, en el distrito Coalaque.",https://rpp.pe/rotafono/servicios-publicos/moquegua-pobladores-piden-nuevo-tamizaje-para-descartar-arsenico-en-escolares-noticia-1660444,"Wed, 22 Oct 2025 09:35:30 -0500"
"Myriam Hernández en Lima: setlist de canciones, horarios y todo sobre sus conciertos en el Parque de la Exposición",La 'Baladista de América' llega a Lima para dos presentaciones este 22 y 23 de octubre. Conoce todos los detalles de los conciertos de Myriam Hernández auspiciado por radio Felicidad.,https://rpp.pe/musica/conciertos/myriam-hernandez-en-lima-2025-setlist-con-canciones-horarios-accesos-y-todo-sobre-concierto-de-baladista-en-parque-de-la-exposicion-noticia-1660310,"Wed, 22 Oct 2025 17:00:29 -0500"
Temblor en Chile hoy 22 de octubre: Epicentro del sismo según CSN,¿Cuál fue el último Temblor en Chile hoy 22 de octubre y registrado por el servicio Sismológico Nacional de Chile (CSN)? Consulta los últimos sismos: magnitud y epicentro del movimiento sísmico.,https://rpp.pe/mundo/chile/temblor-en-chile-hoy-22-de-octubre-epicentro-del-sismo-segun-csn-live-3011,"Wed, 22 Oct 2025 02:09:45 -0500"
"Isabel Preysler publica íntimas cartas de amor de Mario Vargas Llosa y afirma: ""Él era feliz conmigo""",Isabel Preysler publicó su libro 'Mi verdadera historia' donde aparecen cartas de amor que le envío Mario Vargas Llosa durante su relación entre el 2015 y 2022.,https://rpp.pe/famosos/celebridades/isabel-preysler-publica-intimas-cartas-de-amor-de-mario-vargas-llosa-en-su-libro-mi-verdadera-historia-noticia-1660424,"Wed, 22 Oct 2025 08:47:59 -0500"
"""Seguimos persiguiendo sueños"": Grupo 5 brilla en los Billboard Latin Music Week en Miami","Por primera vez, la orquesta de Monsefú participó en el encuentro musical más importante de la industria latina en Miami, compartiendo escenario con Olga Tañón, Guaynaa y otros artistas.",https://rpp.pe/musica/nacional/grupo-5-brilla-en-los-billboard-latin-music-week-en-miami-seguimos-persiguiendo-suenos-noticia-1660482,"Wed, 22 Oct 2025 17:06:57 -0500"
Soda Stereo en Lima: precios y cómo comprar entradas para su concierto en Arena 1,"El trío argentino regresa en 2026, seis años después de su última visita al país. Conoce todos los detalles: precios, zonas y cómo adquirir tus entradas en Joinnus.",https://rpp.pe/musica/conciertos/soda-stereo-en-lima-2026-precios-y-como-comprar-entradas-en-joinnus-para-concierto-con-gustavo-cerati-virtual-en-arena-1-noticia-1660451,"Wed, 22 Oct 2025 17:00:37 -0500"
Argentina: dólar blue hoy a cuánto cotiza este miércoles 22 de octubre,"La cotización del dólar blue, hoy miércoles 22 de octubre en el país de Argentina es de $1530 compra y $1550 la venta.",https://rpp.pe/mundo/argentina/argentina-dolar-blue-hoy-a-cuanto-cotiza-este-miercoles-22-de-octubre-noticia-1660393,"Wed, 22 Oct 2025 05:59:39 -0500"
"México confirma arresto en Cuba de Zhi Dong Zhang, el capo chino del tráfico de fentanilo a EE.UU.","Zhi Dong Zhang, alias 'Brother Wang', había escapado en julio de 2025 de un arresto domiciliario en la Ciudad de México, donde se encontraba bajo custodia de la Guardia Nacional.",https://rpp.pe/mundo/actualidad/mexico-confirma-arresto-en-cuba-de-zhi-dong-zhang-el-capo-chino-del-trafico-de-fentanilo-a-eeuu-noticia-1660533,"Wed, 22 Oct 2025 16:45:36 -0500"
[GUÍA] Retiro de AFP 2025: todos los pasos para registrar tu solicitud y acceder a tu fondo de pensiones,Ya se encuentra activo el registro del octavo retiro facultativo de AFP para aquellas personas cuyo DNI acaba en 0. Conoce los detalles sobre los pasos para acceder al dinero ahorrado en tu fondo de pensiones.,https://rpp.pe/economia/economia/retiro-afp-2025-estos-son-los-pasos-para-registrar-tu-solicitud-por-el-desembolso-de-tus-fondos-noticia-1660521,"Wed, 22 Oct 2025 16:45:36 -0500"
"Apple, hija de Chris Martin y Gwyneth Paltrow debutó como cantante","La joven, que cursa estudios de derecho en Vanderbilt University, ya tiene créditos como compositora en canciones de Coldplay.",https://rpp.pe/famosos/celebridades/apple-martin-debuta-como-cantante-frente-a-su-padre-chris-martin-de-coldplay-video-noticia-1660529,"Wed, 22 Oct 2025 16:46:13 -0500"
Cúal fue el último temblor en México hoy 22 de octubre según SSN,Cuál es el ultimo temblor en México y CDMX registrado segun el Servicio Sismológico Nacional (SSN) hoy 22 de octubre del 2025. Consulta los últimos sismos EN VIVO para México aquí.,https://rpp.pe/mundo/mexico/cual-fue-el-ultimo-temblor-en-mexico-hoy-22-de-octubre-segun-ssn-live-3013,"Wed, 22 Oct 2025 06:42:35 -0500"
Bad Bunny reprograma sus conciertos en Perú por su participación en el medio tiempo del Super Bowl 2026,El cantante puertorriqueño había programado una segunda fecha en Lima luego de agotar las entradas de su primer concierto en pocas horas. Regresará al país tres años después de su última presentación.,https://rpp.pe/musica/conciertos/bad-bunny-en-lima-2026-anuncian-que-los-conciertos-en-peru-seran-reprogramados-por-su-participacion-en-show-de-medio-tiempo-super-bowl-cuando-sera-noticia-1660524,"Wed, 22 Oct 2025 16:43:20 -0500"
"Partidos de hoy, miércoles 22 de octubre del 2025: horarios y canales TV para ver EN VIVO Champions League y Libertadores","Fútbol EN VIVO | Horarios y canales de TV para ver EN DIRECTO los partidos de hoy, miércoles 22 de octubre del 2025.",https://rpp.pe/futbol/futbol-mundial/partidos-de-hoy-peru-miercoles-22-de-octubre-del-2025-horarios-y-canales-tv-ver-futbol-en-vivo-noticia-1660277,"Wed, 22 Oct 2025 16:40:34 -0500"
Cronograma del octavo retiro de AFP 2025 HOY: cuándo podrás presentar tu solicitud según tu DNI,"El desembolso se efectuará hasta en cuatro armadas mensuales de 1 UIT cada una (S/5 350), después de 30 días de ingresada la solicitud, y cada 30 días hasta completar el total solicitado.",https://rpp.pe/economia/economia/octavo-retiro-de-afp-2025-conoce-el-cronograma-oficial-segun-el-numero-de-dni-noticia-1657530,"Wed, 22 Oct 2025 16:30:03 -0500"
"Estados Unidos anunciará un ""aumento sustancial"" en sus sanciones a Rusia en las próximas horas","""Vamos a anunciar después del cierre (de los mercados) de esta tarde o a primera hora de mañana un aumento sustancial de las sanciones a Rusia"", adelantó el secretario del Tesoro, Scott Bessent, sin ofrecer más detalles sobre la magnitud de las acciones.",https://rpp.pe/mundo/estados-unidos/estados-unidos-anunciara-un-aumento-sustancial-en-sus-sanciones-a-rusia-en-las-proximas-horas-noticia-1660531,"Wed, 22 Oct 2025 16:33:24 -0500"
